rolls, Simulation Result, Math Result 
0, 0, 0 
1, 0, 1.0376436800885e-311 
2, 0, 6.176188857082218e-272 
3, 0, 1.2253823933756278e-232 
4, 0, 1.258272389313513e-201 
5, 0, 4.306817251250352e-171 
6, 0, 4.913794237206694e-141 
7, 0, 6.5401680283616285e-124 
8, 0, 2.901616674489109e-107 
9, 0, 4.291130322132608e-91 
10, 0, 5.880702545303073e-80 
11, 0, 2.6864465223435214e-69 
12, 0, 4.091194754920479e-59 
13, 0, 1.4128012316120451e-52 
14, 0, 1.6583374409585863e-46 
15, 0, 6.975019947820013e-41 
16, 0, 4.2883030643920954e-36 
17, 0, 8.190542485546859e-32 
18, 0, 7.203759132824792e-28 
19, 0, 3.1151884780143485e-24 
20, 0, 4.101996591272685e-21 
21, 0, 2.7671145898226242e-18 
22, 0, 1.1278204589161396e-15 
23, 0, 2.9089957948132676e-13 
24, 0, 4.6895828304256187e-11 
25, 0, 4.5422098549950006e-9 
26, 0, 2.571058962324607e-7 
27, 0, 0.000008597107923492597 
28, 0.00009999999999999999, 0.00018021459009893363 
29, 0.0023, 0.002498995025126544 
30, 0.0224, 0.023829675914751568 
31, 0.1642, 0.16044862219373088 
32, 0.7797000000000001, 0.7766957639125169 
33, 2.7409, 2.738348213308262 
34, 7.1448, 7.10435642257823 
35, 13.703399999999998, 13.682495529151446 
36, 19.6934, 19.69660907301487 
37, 21.2049, 21.28384170108677 
38, 17.2938, 17.28206909605815 
39, 10.5036, 10.50937540191064 
40, 4.7515, 4.743264883238513 
41, 1.5584, 1.5635650027642582 
42, 0.3681, 0.3669964944426456 
43, 0.06319999999999999, 0.05896557283640824 
44, 0.0052, 0.006083035880450896 
45, 0.00009999999999999999, 0.0003583742768871643 
46, 0, 0.000009069013024427854 
